Response ID,age,gender,education,other_langs,thought_lang - Selected Choice,comfort_emotion_lang - Selected Choice,daily_eng,most_used_lang - Selected Choice,most_used_lang - Other (please specify below) - Text,lang_instruction - Selected Choice,lang_instruction - Other (please specify below) - Text,variable,value
R_5a8BrPA6iwWqzct,26-35,Male,Master’s degree,non,English,English,Definitely yes,English,,English,,prolific_id,67f3c6bceb826bbc8bbb43e4
R_3poqxx6qUvv4xdd,26-35,Male,Bachelor’s degree,Yourba,English,English,Definitely yes,English,,English,,prolific_id,67375729ff100d6a2ce95ce1
R_17WgeNNCjJAzHLn,26-35,Male,Secondary education (High school),1,English,English,Definitely yes,English,,English,,prolific_id,6653b92cc7f248306bafe316
R_11BNXQR0I6Yo0rU,56+,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,prolific_id,5d4c7acd2799110019400b6a
R_34GabVuMttFsAjn,18-25,Female,Master’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,67ce27d878c7752df5a6d1f4
R_3DUOrXAnGYbIn1A,26-35,Male,Secondary education (High school),,English,English,Definitely yes,English,,English,,prolific_id,66fe8f951effba868f4a8c87
R_3bZecrIP03ypQTS,26-35,Male,Bachelor’s degree,"English, Spanish",English,English,Probably yes,English,,English,,prolific_id,6766df1e766885effb202fb3
R_3Cg3AArw8AABawh,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,prolific_id,674ed0d92479817263831c76
R_1lLDhiyHJrTwUAm,56+,Female,Secondary education (High school),,English,English,Definitely yes,English,,English,,prolific_id,581d5500930a280001062d83
R_5hcpmYMKqM46qQ1,26-35,Female,Bachelor’s degree,Yes,English,English,Probably yes,English,,English,,prolific_id,67f3825d8f5b90e78e7f09d1
R_10dUFJulVNWRH8V,36-45,Female,Master’s degree,,English,English,Definitely yes,English,,English,,prolific_id,67e144f9257688773b9c3761
R_6QyOdq9nqUQzMz3,46-55,Male,Primary education,,English,English,Definitely yes,English,,English,,prolific_id,609e28fc803b1238af34d1c4
R_4KbMUki2qMYU1gJ,56+,Female,No formal education,,Other (please specify),English,Probably not,Other (please specify below),,3,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",ф
R_1PB00TTXcQ3MrZf,18-25,Male,Secondary education (High school),na,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",embarassment
R_1zuQePlilZKo434,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Nothing 
R_33j6oCssq7eKr41,26-35,Male,Bachelor’s degree,"Swahili, French",English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarassed
R_7uJbB6K8mNsdiTj,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",uncomfortable
R_1NPtZ3yyFjxs7wT,26-35,Female,Master’s degree,Armenian,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",contentness
R_1AtRMBho8o1BLRn,18-25,Female,Master’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Exposed
R_7ikw3tQKwns8oai,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",startled
R_3DzYVx6jhWFiMFu,26-35,Male,Master’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarrassment
R_5aJ5773izxZgBUM,56+,Male,Master’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarrassment
R_5pncMA5SbRE4Hcf,36-45,Male,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",insecurity 
R_5GLcq5ZonHUe48x,18-25,Male,Bachelor’s degree,None.,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarrassed
R_5YjttLicw3JmDdf,18-25,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",anxiety
R_5Q5Fh4fbdsKWfJJ,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Ashamed.
R_3CkzQ1WXgXTyWrN,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarrassment 
R_1GCghImduWIE6i4,18-25,Male,Bachelor’s degree,Mandarin,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",unsure
R_1x3AgDBglm6emAh,36-45,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",normalcy
R_5CTTORsw7UqrMhf,36-45,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarrassed
R_699YBunJXF8rkQF,26-35,Male,Secondary education (High school),American Sign Language,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Average
R_6B3BJILoA8iAxsp,36-45,Male,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",ashamed
R_107h1Vn7CV1doqN,36-45,Male,Master’s degree,I speak only English,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:","The emotion the woman might feel in this situation is embarrassment. Sitting barefoot when male guests enter could make her feel self-conscious, especially if she perceives the situation as socially awkward or immodest."
R_1kM2sYw0yILPpYN,26-35,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Pleasure
R_7rJzJXebMVwXdAa,36-45,Female,Master’s degree,na,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",neutral
R_7E0rQuIBfE8K5mg,26-35,Female,Bachelor’s degree,non,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",embarrassment 
R_3GtSUKXRfoX41Il,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",startled
R_3dcvKW5b4zEDQoY,18-25,Male,Bachelor’s degree,Chaldean,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarrassed
R_5loSb2FnG8EckOY,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",curious
R_6lE17npzadUddst,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarrassed
R_3zuWbC5oWUkttXh,26-35,Male,Bachelor’s degree,spanish,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",shy
R_1QKRLRNMycAAiws,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Okay
R_7OHi6sgiNIkRb1D,46-55,Female,Secondary education (High school),Nothing ,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Shocked
R_7HJYgltYfd7W4Ip,46-55,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Uncomfortable
R_6CKuCcTMYTh3BdE,56+,Female,Master’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",indifferent
R_34gws0kx39UhGbD,46-55,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Surprised 
R_3E0PeL2dDOLlEFI,36-45,Male,Secondary education (High school),,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Calm
R_729Koo0SOsMXMnn,56+,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarrassment 
R_5flVqodrpIHNUFu,36-45,Female,Secondary education (High school),,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",nonplussed
R_6Ov226ING9ZD20L,36-45,Female,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarrassment
R_6LMXBbF8WDwL9NX,56+,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",relaxed
R_5Gy5GPrz4SWuuH2,36-45,Female,Bachelor’s degree,Russian,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Indifference 
R_6WQK8obG9ELgabf,26-35,Male,Primary education,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",surprise 
R_1xQKA63Ya8INRND,56+,Male,Doctorate (Ph.D.),none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",embarrassment
R_3QgiDi6LVafBCa8,56+,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",comfortable
R_63xKbOJ9nnzxHm9,36-45,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",hesitant
R_6FG9aCY3xBmsaY4,26-35,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Unbothered
R_5OXnLupIihHKg6Z,46-55,Female,Secondary education (High school),English,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",embarrassed
R_7r0vpFUDZ0D0doN,18-25,Non-binary,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Calm
R_11JLrAN7mh0UReV,26-35,Male,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Comfortable
R_1PmK7w5cqTelO5Q,26-35,Female,Bachelor’s degree,German,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Embarassment
R_5a8BrPA6iwWqzct,26-35,Male,Master’s degree,non,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",happy
R_3poqxx6qUvv4xdd,26-35,Male,Bachelor’s degree,Yourba,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Sxared
R_17WgeNNCjJAzHLn,26-35,Male,Secondary education (High school),1,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",surprise
R_11BNXQR0I6Yo0rU,56+,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",conspicuous
R_34GabVuMttFsAjn,18-25,Female,Master’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Awkwardness
R_3DUOrXAnGYbIn1A,26-35,Male,Secondary education (High school),,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Nothing
R_3bZecrIP03ypQTS,26-35,Male,Bachelor’s degree,"English, Spanish",English,English,Probably yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",guilty
R_3Cg3AArw8AABawh,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Concern 
R_1lLDhiyHJrTwUAm,56+,Female,Secondary education (High school),,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",pleasure
R_5hcpmYMKqM46qQ1,26-35,Female,Bachelor’s degree,Yes,English,English,Probably yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:","When a girl touches your leg with her leg, it's often a sign of interest and a way of increasing intimacy. This kind of touch is usually deliberate and can indicate that she is comfortable with you and wants to create a closer connection.
"
R_10dUFJulVNWRH8V,36-45,Female,Master’s degree,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",Surprised
R_6QyOdq9nqUQzMz3,46-55,Male,Primary education,,English,English,Definitely yes,English,,English,,"'A woman was sitting barefoot in her house when male guests entered.'
Name the emotion the woman would feel in this situation:",I don't have any idea
R_4KbMUki2qMYU1gJ,56+,Female,No formal education,,Other (please specify),English,Probably not,Other (please specify below),,3,,intensity,1- Very weak
R_1PB00TTXcQ3MrZf,18-25,Male,Secondary education (High school),na,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_1zuQePlilZKo434,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity,1- Very weak
R_33j6oCssq7eKr41,26-35,Male,Bachelor’s degree,"Swahili, French",English,English,Definitely yes,English,,English,,intensity,5- Very strong
R_7uJbB6K8mNsdiTj,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_1NPtZ3yyFjxs7wT,26-35,Female,Master’s degree,Armenian,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_1AtRMBho8o1BLRn,18-25,Female,Master’s degree,,English,English,Definitely yes,English,,English,,intensity,1- Very weak
R_7ikw3tQKwns8oai,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity,1- Very weak
R_3DzYVx6jhWFiMFu,26-35,Male,Master’s degree,,English,English,Definitely yes,English,,English,,intensity,4-Rather strong
R_5aJ5773izxZgBUM,56+,Male,Master’s degree,none,English,English,Definitely yes,English,,English,,intensity,5- Very strong
R_5pncMA5SbRE4Hcf,36-45,Male,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_5GLcq5ZonHUe48x,18-25,Male,Bachelor’s degree,None.,English,English,Definitely yes,English,,English,,intensity,4-Rather strong
R_5YjttLicw3JmDdf,18-25,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_5Q5Fh4fbdsKWfJJ,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity,4-Rather strong
R_3CkzQ1WXgXTyWrN,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,intensity,4-Rather strong
R_1GCghImduWIE6i4,18-25,Male,Bachelor’s degree,Mandarin,English,English,Definitely yes,English,,English,,intensity,2-Rather weak
R_1x3AgDBglm6emAh,36-45,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity,4-Rather strong
R_5CTTORsw7UqrMhf,36-45,Male,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity,2-Rather weak
R_699YBunJXF8rkQF,26-35,Male,Secondary education (High school),American Sign Language,English,English,Definitely yes,English,,English,,intensity,1- Very weak
R_6B3BJILoA8iAxsp,36-45,Male,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity,5- Very strong
R_107h1Vn7CV1doqN,36-45,Male,Master’s degree,I speak only English,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_1kM2sYw0yILPpYN,26-35,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_7rJzJXebMVwXdAa,36-45,Female,Master’s degree,na,English,English,Definitely yes,English,,English,,intensity,4-Rather strong
R_7E0rQuIBfE8K5mg,26-35,Female,Bachelor’s degree,non,English,English,Definitely yes,English,,English,,intensity,5- Very strong
R_3GtSUKXRfoX41Il,26-35,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,intensity,2-Rather weak
R_3dcvKW5b4zEDQoY,18-25,Male,Bachelor’s degree,Chaldean,English,English,Definitely yes,English,,English,,intensity,5- Very strong
R_5loSb2FnG8EckOY,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity,1- Very weak
R_6lE17npzadUddst,18-25,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity,5- Very strong
R_3zuWbC5oWUkttXh,26-35,Male,Bachelor’s degree,spanish,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_1QKRLRNMycAAiws,26-35,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity,1- Very weak
R_7OHi6sgiNIkRb1D,46-55,Female,Secondary education (High school),Nothing ,English,English,Definitely yes,English,,English,,intensity,4-Rather strong
R_7HJYgltYfd7W4Ip,46-55,Female,Bachelor’s degree,,English,English,Definitely yes,English,,English,,intensity,4-Rather strong
R_6CKuCcTMYTh3BdE,56+,Female,Master’s degree,none,English,English,Definitely yes,English,,English,,intensity,2-Rather weak
R_34gws0kx39UhGbD,46-55,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_3E0PeL2dDOLlEFI,36-45,Male,Secondary education (High school),,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_729Koo0SOsMXMnn,56+,Male,Master’s degree,Spanish,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_5flVqodrpIHNUFu,36-45,Female,Secondary education (High school),,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_6Ov226ING9ZD20L,36-45,Female,Bachelor’s degree,English,English,English,Definitely yes,English,,English,,intensity,2-Rather weak
R_6LMXBbF8WDwL9NX,56+,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,intensity,4-Rather strong
R_5Gy5GPrz4SWuuH2,36-45,Female,Bachelor’s degree,Russian,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_6WQK8obG9ELgabf,26-35,Male,Primary education,none,English,English,Definitely yes,English,,English,,intensity,2-Rather weak
R_1xQKA63Ya8INRND,56+,Male,Doctorate (Ph.D.),none,English,English,Definitely yes,English,,English,,intensity,2-Rather weak
R_3QgiDi6LVafBCa8,56+,Female,Bachelor’s degree,none,English,English,Definitely yes,English,,English,,intensity,5- Very strong
R_63xKbOJ9nnzxHm9,36-45,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,intensity,3-Medium
R_6FG9aCY3xBmsaY4,26-35,Female,Secondary education (High school),none,English,English,Definitely yes,English,,English,,intensity,3-Medium
